#        M_H  tanbeta            NLO                pdf_error_hi        pdf_error_lo   sigma_scale_nlo+  sigma_scale_nlo-	       
        240  7.000000e-01       4.041134e+00       +1.393638e-01       -1.393638e-01      +5.15e-01         -5.46e-01	   
        240  8.000000e-01       3.094136e+00       +1.067052e-01       -1.067052e-01      +3.95e-01         -4.18e-01	   
        240  9.000000e-01       2.444914e+00       +8.431636e-02       -8.431636e-02      +3.12e-01         -3.31e-01	   
        240  1.000000e+00       1.980566e+00       +6.830212e-02       -6.830212e-02      +2.53e-01         -2.68e-01	   
        240  2.000000e+00       4.971672e-01       +1.714510e-02       -1.714510e-02      +6.35e-02         -6.73e-02	   
        240  3.000000e+00       2.248644e-01       +7.754003e-03       -7.754003e-03      +2.89e-02         -3.07e-02	   
        240  4.000000e+00       1.323944e-01       +4.564400e-03       -4.564400e-03      +1.73e-02         -1.83e-02	   
        240  5.000000e+00       9.270534e-02       +3.194861e-03       -3.194861e-03      +1.25e-02         -1.32e-02	   
        240  6.000000e+00       7.444691e-02       +2.564221e-03       -2.564221e-03      +1.04e-02         -1.11e-02	   
        240  7.000000e+00       6.687712e-02       +2.302023e-03       -2.302023e-03      +9.80e-03         -1.04e-02	   
        240  8.000000e+00       6.550891e-02       +2.253523e-03       -2.253523e-03      +1.00e-02         -1.06e-02	   
        240  9.000000e+00       6.819869e-02       +2.344789e-03       -2.344789e-03      +1.08e-02         -1.14e-02	   
        240  1.000000e+01       7.381746e-02       +2.536887e-03       -2.536887e-03      +1.20e-02         -1.27e-02	   
        240  1.100000e+01       8.172466e-02       +2.807732e-03       -2.807732e-03      +1.36e-02         -1.44e-02	   
        240  1.200000e+01       9.153494e-02       +3.144032e-03       -3.144032e-03      +1.54e-02         -1.63e-02	   
        240  1.300000e+01       1.030052e-01       +3.537445e-03       -3.537445e-03      +1.75e-02         -1.86e-02	   
        240  1.400000e+01       1.159759e-01       +3.982354e-03       -3.982354e-03      +1.99e-02         -2.11e-02	   
        240  1.500000e+01       1.303388e-01       +4.475135e-03       -4.475135e-03      +2.24e-02         -2.38e-02	   
        240  1.600000e+01       1.460185e-01       +5.013143e-03       -5.013143e-03      +2.53e-02         -2.68e-02	   
        240  1.700000e+01       1.629610e-01       +5.594529e-03       -5.594529e-03      +2.83e-02         -3.00e-02	   
        240  1.800000e+01       1.811269e-01       +6.217894e-03       -6.217894e-03      +3.15e-02         -3.34e-02	   
        240  1.900000e+01       2.004869e-01       +6.882349e-03       -6.882349e-03      +3.49e-02         -3.70e-02	   
        240  2.000000e+01       2.210188e-01       +7.586993e-03       -7.586993e-03      +3.85e-02         -4.08e-02	   
        240  2.100000e+01       2.427057e-01       +8.331278e-03       -8.331278e-03      +4.24e-02         -4.49e-02	   
        240  2.200000e+01       2.655342e-01       +9.114764e-03       -9.114764e-03      +4.64e-02         -4.92e-02	   
        240  2.300000e+01       2.894939e-01       +9.937118e-03       -9.937118e-03      +5.06e-02         -5.36e-02	   
        240  2.400000e+01       3.145766e-01       +1.079799e-02       -1.079799e-02      +5.50e-02         -5.83e-02	   
        240  2.500000e+01       3.407755e-01       +1.169718e-02       -1.169718e-02      +5.96e-02         -6.32e-02	   
        240  2.600000e+01       3.680853e-01       +1.263445e-02       -1.263445e-02      +6.44e-02         -6.83e-02	   
        240  2.700000e+01       3.965014e-01       +1.360981e-02       -1.360981e-02      +6.94e-02         -7.36e-02	   
        240  2.800000e+01       4.260204e-01       +1.462293e-02       -1.462293e-02      +7.46e-02         -7.91e-02	   
        240  2.900000e+01       4.566390e-01       +1.567386e-02       -1.567386e-02      +8.00e-02         -8.48e-02	   
        240  3.000000e+01       4.883548e-01       +1.676251e-02       -1.676251e-02      +8.56e-02         -9.07e-02	   
        240  3.100000e+01       5.211656e-01       +1.788856e-02       -1.788856e-02      +9.13e-02         -9.68e-02	   
        240  3.200000e+01       5.550697e-01       +1.905237e-02       -1.905237e-02      +9.73e-02         -1.03e-01	   
        240  3.300000e+01       5.900655e-01       +2.025348e-02       -2.025348e-02      +1.03e-01         -1.10e-01	   
        240  3.400000e+01       6.261516e-01       +2.149212e-02       -2.149212e-02      +1.10e-01         -1.16e-01	   
        240  3.500000e+01       6.633270e-01       +2.276805e-02       -2.276805e-02      +1.16e-01         -1.23e-01	   
        240  3.600000e+01       7.015907e-01       +2.408135e-02       -2.408135e-02      +1.23e-01         -1.30e-01	   
        240  3.700000e+01       7.409417e-01       +2.543209e-02       -2.543209e-02      +1.30e-01         -1.38e-01	   
        240  3.800000e+01       7.813795e-01       +2.682002e-02       -2.682002e-02      +1.37e-01         -1.45e-01	   
        240  3.900000e+01       8.229033e-01       +2.824522e-02       -2.824522e-02      +1.44e-01         -1.53e-01	   
        240  4.000000e+01       8.655127e-01       +2.970770e-02       -2.970770e-02      +1.52e-01         -1.61e-01	   
        240  4.100000e+01       9.092070e-01       +3.120745e-02       -3.120745e-02      +1.59e-01         -1.69e-01	   
        240  4.200000e+01       9.539858e-01       +3.274445e-02       -3.274445e-02      +1.67e-01         -1.77e-01	   
        240  4.300000e+01       9.998488e-01       +3.431868e-02       -3.431868e-02      +1.75e-01         -1.86e-01	   
        240  4.400000e+01       1.046796e+00       +3.593010e-02       -3.593010e-02      +1.84e-01         -1.95e-01	   
        240  4.500000e+01       1.094826e+00       +3.757831e-02       -3.757831e-02      +1.92e-01         -2.04e-01	   
        240  4.600000e+01       1.143940e+00       +3.926356e-02       -3.926356e-02      +2.01e-01         -2.13e-01	   
        240  4.700000e+01       1.194136e+00       +4.098699e-02       -4.098699e-02      +2.09e-01         -2.22e-01	   
        240  4.800000e+01       1.245416e+00       +4.274731e-02       -4.274731e-02      +2.18e-01         -2.32e-01	   
        240  4.900000e+01       1.297778e+00       +4.454419e-02       -4.454419e-02      +2.28e-01         -2.41e-01	   
        240  5.000000e+01       1.351222e+00       +4.637874e-02       -4.637874e-02      +2.37e-01         -2.51e-01	   
        240  5.100000e+01       1.405749e+00       +4.825043e-02       -4.825043e-02      +2.47e-01         -2.61e-01	   
        240  5.200000e+01       1.461357e+00       +5.015938e-02       -5.015938e-02      +2.56e-01         -2.72e-01	   
        240  5.300000e+01       1.518048e+00       +5.210544e-02       -5.210544e-02      +2.66e-01         -2.82e-01	   
        240  5.400000e+01       1.575820e+00       +5.408813e-02       -5.408813e-02      +2.76e-01         -2.93e-01	   
        240  5.500000e+01       1.634675e+00       +5.610827e-02       -5.610827e-02      +2.87e-01         -3.04e-01	   
        240  5.600000e+01       1.694611e+00       +5.816485e-02       -5.816485e-02      +2.97e-01         -3.15e-01	   
        240  5.700000e+01       1.755628e+00       +6.025936e-02       -6.025936e-02      +3.08e-01         -3.26e-01	   
        240  5.800000e+01       1.817727e+00       +6.239099e-02       -6.239099e-02      +3.19e-01         -3.38e-01	   
        240  5.900000e+01       1.880907e+00       +6.456003e-02       -6.456003e-02      +3.30e-01         -3.50e-01	   
        240  6.000000e+01       1.945169e+00       +6.676565e-02       -6.676565e-02      +3.41e-01         -3.62e-01	   
        260  1.000000e-01       1.671590e+02       +5.902083e+00       -5.902083e+00      +2.17e+01         -2.28e+01	   
        260  2.000000e-01       4.178977e+01       +1.475523e+00       -1.475523e+00      +5.42e+00         -5.71e+00	   
        260  3.000000e-01       1.857326e+01       +6.557962e-01       -6.557962e-01      +2.41e+00         -2.54e+00	   
        260  4.000000e-01       1.044751e+01       +3.688806e-01       -3.688806e-01      +1.35e+00         -1.43e+00	   
        260  5.000000e-01       6.686473e+00       +2.360890e-01       -2.360890e-01      +8.67e-01         -9.14e-01	   
        260  6.000000e-01       4.643469e+00       +1.639537e-01       -1.639537e-01      +6.02e-01         -6.35e-01	   
        260  7.000000e-01       3.411630e+00       +1.204592e-01       -1.204592e-01      +4.42e-01         -4.66e-01	   
        260  8.000000e-01       2.612150e+00       +9.223134e-02       -9.223134e-02      +3.39e-01         -3.57e-01	   
        260  9.000000e-01       2.064059e+00       +7.287831e-02       -7.287831e-02      +2.68e-01         -2.82e-01	   
        260  1.000000e+00       1.672043e+00       +5.903735e-02       -5.903735e-02      +2.17e-01         -2.29e-01	   
        260  2.000000e+00       4.197114e-01       +1.481943e-02       -1.481943e-02      +5.45e-02         -5.74e-02	   
        260  3.000000e+00       1.898134e-01       +6.702191e-03       -6.702191e-03      +2.48e-02         -2.61e-02	   
        260  4.000000e+00       1.117299e-01       +3.945195e-03       -3.945195e-03      +1.48e-02         -1.56e-02	   
        260  5.000000e+00       7.820028e-02       +2.761502e-03       -2.761502e-03      +1.07e-02         -1.13e-02	   
        260  6.000000e+00       6.275788e-02       +2.216409e-03       -2.216409e-03      +8.95e-03         -9.41e-03	   
        260  7.000000e+00       5.633398e-02       +1.989788e-03       -1.989788e-03      +8.41e-03         -8.83e-03	   
        260  8.000000e+00       5.514050e-02       +1.947870e-03       -1.947870e-03      +8.60e-03         -9.02e-03	   
        260  9.000000e+00       5.736776e-02       +2.026767e-03       -2.026767e-03      +9.27e-03         -9.72e-03	   
        260  1.000000e+01       6.206263e-02       +2.192817e-03       -2.192817e-03      +1.03e-02         -1.08e-02	   
        260  1.100000e+01       6.868434e-02       +2.426929e-03       -2.426929e-03      +1.16e-02         -1.22e-02	   
        260  1.200000e+01       7.690755e-02       +2.717625e-03       -2.717625e-03      +1.32e-02         -1.38e-02	   
        260  1.300000e+01       8.652704e-02       +3.057649e-03       -3.057649e-03      +1.50e-02         -1.57e-02	   
        260  1.400000e+01       9.740811e-02       +3.442240e-03       -3.442240e-03      +1.71e-02         -1.79e-02	   
        260  1.500000e+01       1.094594e-01       +3.868142e-03       -3.868142e-03      +1.93e-02         -2.02e-02	   
