#Contacts: Martin Flechl, Steve Sekula, Maria Ubiali, Date: May 6, 2015
#A preliminary version of grid of Santander-matched cross sections in tan beta (0.1-60) and mH+ (200-1000 GeV), sqrt(s)=8 TeV, in units of GeV and picobarn.
#Also given are total uncertainties (PDF, alphas, scale, mb). Numbers are for 2HDM type-II (a la MSSM), but without SQCD corrections.
#The uncertainties at very low tan beta might not be accurate, please use with care and only after discussing with the authors.
mhp tb xsec unc- unc+
380 10 0.00542534 0.00116075 0.00115146 
380 11 0.00596279 0.00127438 0.00126404 
380 12 0.0066421 0.00142391 0.00141227 
380 13 0.00744664 0.00159653 0.00158339 
380 14 0.00836391 0.00179455 0.00177972 
380 15 0.00938222 0.00201393 0.00199722 
380 16 0.0104629 0.00224731 0.00222856 
380 17 0.0116813 0.00250519 0.00248427 
380 18 0.013004 0.00278827 0.00276496 
380 19 0.0143476 0.00308017 0.00305436 
380 20 0.0158593 0.00340673 0.00337826 
380 25 0.02436 0.00523458 0.00519058 
380 30 0.0349548 0.00750745 0.00744434 
380 35 0.0474208 0.0101867 0.010101 
380 40 0.0619072 0.0133092 0.0131972 
380 45 0.0783501 0.0168432 0.0167013 
380 50 0.0966437 0.0207807 0.0206057 
380 55 0.117205 0.0251867 0.0249751 
380 60 0.138877 0.0298552 0.0296033 
400 0.1 13.3665 2.88087 2.86032 
400 0.2 3.34301 0.720247 0.715103 
400 0.3 1.48884 0.321182 0.318897 
400 0.4 0.836498 0.180211 0.178924 
400 0.5 0.535731 0.115473 0.114649 
400 0.6 0.371583 0.0800757 0.0795038 
400 0.7 0.273125 0.0588815 0.0584614 
400 0.8 0.209119 0.0451215 0.0447999 
400 0.9 0.165201 0.0356082 0.0353542 
400 1 0.133651 0.0288839 0.0286785 
400 2 0.033578 0.00725613 0.00720466 
400 3 0.0151678 0.00327585 0.0032526 
400 4 0.0088638 0.00191535 0.00190166 
400 5 0.00615074 0.00133098 0.00132138 
400 6 0.00486414 0.00105231 0.00104459 
400 7 0.00430692 0.000933687 0.000926711 
400 8 0.00414905 0.000902855 0.00089597 
400 9 0.00426766 0.000928877 0.000921659 
400 10 0.00457237 0.000997448 0.000989589 
400 11 0.00501389 0.00109366 0.00108494 
400 12 0.00558525 0.00121917 0.00120936 
400 13 0.00626492 0.0013707 0.00135961 
400 14 0.00703092 0.00153902 0.00152652 
400 15 0.0078849 0.00172532 0.00171122 
400 16 0.00882248 0.00193054 0.00191474 
400 17 0.00983209 0.0021499 0.00213224 
400 18 0.0109314 0.00239283 0.00237318 
400 19 0.0120626 0.00264347 0.0026217 
400 20 0.0132886 0.00291116 0.00288714 
400 25 0.0204989 0.00448706 0.00444997 
400 30 0.0293465 0.00642108 0.00636789 
400 35 0.039907 0.00874524 0.00867292 
400 40 0.052026 0.0113947 0.0113002 
400 45 0.0658612 0.014457 0.0143373 
400 50 0.0812168 0.0177957 0.0176482 
400 55 0.0982769 0.0215441 0.0213656 
400 60 0.116889 0.02561 0.0253977 
420 0.1 11.31 2.48629 2.46495 
420 0.2 2.82518 0.621025 0.61568 
420 0.3 1.25582 0.276147 0.27377 
420 0.4 0.706624 0.1553 0.153964 
420 0.5 0.45264 0.0995407 0.0986852 
420 0.6 0.313883 0.0689807 0.068387 
420 0.7 0.231032 0.0507923 0.0503559 
420 0.8 0.176865 0.0388809 0.0385467 
420 0.9 0.139766 0.0307286 0.0304646 
420 1 0.113045 0.0249249 0.0247119 
420 2 0.0283197 0.00623895 0.00618553 
420 3 0.0128195 0.00282314 0.00279901 
420 4 0.00748294 0.00164968 0.00163549 
420 5 0.00518736 0.00114402 0.00113408 
420 6 0.00411304 0.000910101 0.000902078 
420 7 0.00363032 0.000803655 0.000796421 
420 8 0.00350254 0.000776703 0.000769571 
420 9 0.00359601 0.000799007 0.000791542 
420 10 0.00384614 0.000856822 0.000848703 
420 11 0.00423103 0.0009409 0.000931862 
420 12 0.00470687 0.00105072 0.00104056 
420 13 0.00527297 0.00117748 0.001166 
420 14 0.00592245 0.00132344 0.00131049 
420 15 0.00663648 0.00148246 0.00146789 
420 16 0.00742672 0.00165933 0.00164298 
420 17 0.00828042 0.00185324 0.00183496 
420 18 0.00919397 0.00205452 0.00203418 
420 19 0.0101726 0.00227542 0.00225291 
420 20 0.011194 0.00250239 0.00247754 
420 25 0.0172574 0.00385921 0.00382083 
420 30 0.0247356 0.00552875 0.00547368 
420 35 0.0335459 0.00749701 0.00742218 
420 40 0.0438373 0.00981139 0.00971369 
420 45 0.0553791 0.0123937 0.0122701 
420 50 0.0683943 0.0153127 0.0151602 
420 55 0.0827614 0.0185148 0.0183301 
420 60 0.0984132 0.0220245 0.021805 
440 0.1 9.63602 2.15882 2.13759 
440 0.2 2.41386 0.540834 0.535514 
440 0.3 1.06969 0.239664 0.237299 
440 0.4 0.603233 0.135188 0.133857 
440 0.5 0.386328 0.0866396 0.0857888 
440 0.6 0.268172 0.0600963 0.0595048 
440 0.7 0.196709 0.0441272 0.0436926 
440 0.8 0.150777 0.0337768 0.0334443 
440 0.9 0.119244 0.0266949 0.0264322 
440 1 0.0963031 0.0215871 0.0213753 
440 2 0.0241983 0.00542368 0.0053706 
440 3 0.0108797 0.00244111 0.00241711 
440 4 0.00638854 0.00143194 0.00141783 
440 5 0.00442881 0.000994563 0.00098466 
440 6 0.003508 0.000788603 0.000780632 
440 7 0.00309636 0.000694285 0.000687099 
440 8 0.00298532 0.000673236 0.00066614 
440 9 0.00306313 0.000691905 0.000684497 
440 10 0.00328096 0.000743139 0.000735066 
440 11 0.00359686 0.000816038 0.000807065 
440 12 0.00401083 0.000910601 0.000900494 
440 13 0.0044926 0.00102007 0.00100867 
440 14 0.00504216 0.00114445 0.0011316 
440 15 0.00565516 0.0012832 0.00126873 
440 16 0.00631888 0.00143614 0.0014199 
440 17 0.00704751 0.00160312 0.001585 
440 18 0.00782179 0.00177498 0.00175481 
440 19 0.00865293 0.00196638 0.00194405 
440 20 0.0095361 0.00217094 0.00214629 
440 25 0.0146761 0.00334158 0.00330346 
440 30 0.021048 0.00478842 0.00473379 
440 35 0.0285424 0.00649231 0.00641818 
440 40 0.0372577 0.00848075 0.00838392 
440 45 0.0471766 0.01073 0.0106074 
440 50 0.0581866 0.0131956 0.0130445 
440 55 0.0703983 0.0160146 0.0158314 
440 60 0.0837417 0.0190545 0.0188367 
460 0.1 8.24406 1.85395 1.85063 
460 0.2 2.06389 0.464859 0.464027 
460 0.3 0.91665 0.206326 0.205956 
460 0.4 0.515184 0.116041 0.115833 
460 0.5 0.329806 0.0742199 0.0740868 
460 0.6 0.229408 0.0515759 0.0514833 
460 0.7 0.168262 0.037896 0.0378281 
460 0.8 0.129008 0.0290229 0.0289708 
460 0.9 0.10216 0.0229862 0.0229451 
460 1 0.0824013 0.0185422 0.018509 
460 2 0.0207057 0.00465646 0.00464815 
460 3 0.00932762 0.00209909 0.00209534 
460 4 0.00546098 0.00122994 0.00122773 
460 5 0.00378067 0.00085119 0.000849645 
460 6 0.00299183 0.000675141 0.000673897 
460 7 0.00264574 0.000599224 0.000598098 
460 8 0.00254687 0.00057599 0.000574883 
460 9 0.00261448 0.000592399 0.000591239 
460 10 0.00279803 0.000637142 0.000635881 
460 11 0.00306752 0.000696978 0.000695582 
460 12 0.0034206 0.000778966 0.000777391 
460 13 0.00382936 0.000872302 0.000870528 
460 14 0.00429343 0.000979377 0.000977372 
460 15 0.0048127 0.00109817 0.00109591 
460 16 0.0053812 0.00122944 0.00122691 
460 17 0.00600095 0.00137136 0.00136854 
460 18 0.0066631 0.00152387 0.00152072 
460 19 0.00737155 0.00168834 0.00168485 
460 20 0.00812009 0.00185861 0.00185477 
460 25 0.0125003 0.00289324 0.00288731 
460 30 0.0179125 0.00409985 0.00409134 
460 35 0.0243197 0.00557077 0.00555918 
460 40 0.0317483 0.00729156 0.00727647 
460 45 0.0401369 0.00923467 0.00921558 
460 50 0.0495059 0.0113615 0.0113379 
460 55 0.0599162 0.0137534 0.0137248 
460 60 0.0712844 0.0163219 0.016288 
480 0.1 7.07426 1.58747 1.69277 
480 0.2 1.77351 0.39768 0.424088 
480 0.3 0.786702 0.176382 0.188126 
480 0.4 0.443117 0.0993703 0.105979 
480 0.5 0.283042 0.0634981 0.0677243 
480 0.6 0.196704 0.0441505 0.0470882 
480 0.7 0.144738 0.0324356 0.0345899 
480 0.8 0.110379 0.0247838 0.0264339 
480 0.9 0.0874653 0.019615 0.0209192 
480 1 0.0708037 0.0158761 0.0169284 
480 2 0.0177307 0.00397728 0.00424107 
480 3 0.00800334 0.00179412 0.00191322 
480 4 0.0046858 0.00104968 0.00111982 
480 5 0.00324616 0.000728142 0.000777232 
480 6 0.00256603 0.000576523 0.000615977 
480 7 0.0022732 0.000512065 0.000547836 
480 8 0.00218129 0.000492723 0.000527793 
480 9 0.00223563 0.000505988 0.000542636 
480 10 0.0023928 0.000545398 0.000585202 
480 11 0.00262095 0.000600675 0.000644863 
480 12 0.0029201 0.000671785 0.000721584 
480 13 0.00326721 0.000753365 0.000809477 
480 14 0.00366504 0.000846255 0.000909556 
480 15 0.00411083 0.000949616 0.00102081 
480 16 0.00459719 0.00106202 0.00114181 
480 17 0.00511674 0.00118205 0.00127113 
480 18 0.00568425 0.00131255 0.00141163 
480 19 0.00628904 0.00145511 0.00156488 
480 20 0.00692426 0.00160446 0.00172545 
480 25 0.01067 0.00249274 0.00267966 
480 30 0.0152733 0.00352218 0.00379047 
480 35 0.0207373 0.00477945 0.00514365 
480 40 0.0270729 0.00626788 0.00674325 
480 45 0.0342421 0.00794394 0.00854591 
480 50 0.0422284 0.0098026 0.0105455 
480 55 0.0511248 0.011864 0.0127635 
480 60 0.0608161 0.0141012 0.0151703 
500 0.1 6.11112 1.44239 1.44239 
500 0.2 1.52788 0.360414 0.360414 
500 0.3 0.679781 0.160825 0.160825 
500 0.4 0.382321 0.0903936 0.0903936 
500 0.5 0.244499 0.0576591 0.0576591 
500 0.6 0.169934 0.0402483 0.0402483 
500 0.7 0.124698 0.0294105 0.0294105 
500 0.8 0.0955945 0.0226238 0.0226238 
500 0.9 0.0755286 0.0178616 0.0178616 
500 1 0.0611415 0.0144653 0.0144653 
500 2 0.0153461 0.00361698 0.00361698 
500 3 0.00691984 0.00163697 0.00163697 
500 4 0.00404972 0.000957711 0.000957712 
500 5 0.00280073 0.000664384 0.000664384 
500 6 0.00221619 0.000525001 0.000525002 
500 7 0.00194911 0.000467541 0.000467541 
500 8 0.00187786 0.000455799 0.000455799 
500 9 0.00192213 0.000467711 0.000467711 
500 10 0.00205274 0.000499593 0.000499593 
500 11 0.00225146 0.000551473 0.000551473 
500 12 0.00250592 0.000616049 0.000616049 
500 13 0.00280393 0.000691252 0.000691252 
500 14 0.0031502 0.000777653 0.000777653 
